Date,Open,High,Low,Close,Adj Close,Volume
"Sep 9, 2025",337.03,338.31,333.85,334.06,334.06,"21,641,900"
"Sep 8, 2025",333.66,335.67,333.23,334.82,334.82,"18,617,300"
"Sep 5, 2025",329.53,331.44,328.93,331.05,331.05,"16,065,200"
"Sep 4, 2025",327.03,327.56,325.35,326.69,326.69,"11,703,100"
"Sep 3, 2025",327.76,329.45,326.73,328.14,328.14,"16,062,200"
"Sep 2, 2025",320.82,325.92,320.24,325.59,325.59,"21,247,500"
"Aug 29, 2025",314.72,318.09,314.64,318.07,318.07,"15,642,600"
"Aug 28, 2025",313.32,315.08,313.07,315.03,315.03,"9,610,200"
"Aug 27, 2025",311.39,312.91,310.77,312.71,312.71,"4,320,100"
"Aug 26, 2025",310.62,312.21,310.31,312.08,312.08,"11,698,500"
"Aug 25, 2025",309.67,310.84,309.67,309.83,309.83,"4,044,400"
"Aug 22, 2025",306.52,311.02,306.43,310.58,310.58,"8,526,500"
"Aug 21, 2025",307.86,308.15,307.03,307.29,307.29,"4,809,000"
"Aug 20, 2025",307.54,308.47,307.40,308.36,308.36,"6,515,400"
"Aug 19, 2025",306.76,307.48,305.19,305.27,305.27,"5,029,900"
"Aug 18, 2025",307.79,307.89,306.63,306.95,306.95,"6,150,100"
"Aug 15, 2025",307.34,308.00,306.87,307.43,307.43,"5,990,100"
"Aug 14, 2025",307.93,308.34,306.52,307.25,307.25,"5,817,700"
"Aug 13, 2025",309.10,310.39,308.45,309.21,309.21,"4,718,600"
"Aug 12, 2025",308.22,309.31,306.71,308.27,308.27,"9,697,400"
"Aug 11, 2025",308.62,309.66,307.63,308.55,308.55,"10,326,700"
"Aug 8, 2025",312.35,313.53,311.00,313.05,313.05,"19,886,800"
"Aug 7, 2025",311.72,313.14,310.70,313.12,313.12,"10,891,500"
"Aug 6, 2025",310.32,311.24,309.84,310.50,310.50,"7,418,200"
"Aug 5, 2025",310.37,312.24,310.22,311.16,311.16,"6,997,700"
"Aug 4, 2025",310.80,311.74,310.37,310.91,310.91,"7,639,000"
"Aug 1, 2025",308.61,309.55,307.45,309.11,309.11,"12,843,400"
"Jul 31, 2025",304.59,304.61,302.86,302.96,302.96,"8,981,000"
"Jul 30, 2025",304.42,304.65,300.96,300.96,300.96,"13,459,600"
"Jul 29, 2025",305.80,307.03,304.99,306.25,306.25,"5,741,100"
"Jul 28, 2025",306.44,306.58,304.05,305.41,305.41,"9,275,400"
"Jul 25, 2025",307.82,308.31,306.20,307.40,307.40,"9,376,400"
"Jul 24, 2025",309.29,310.99,309.06,310.27,310.27,"7,698,800"
"Jul 23, 2025",314.00,314.96,311.42,312.18,312.18,"10,547,500"
"Jul 22, 2025",314.48,316.24,313.62,316.10,316.10,"13,691,800"
"Jul 21, 2025",311.88,313.31,311.61,313.13,313.13,"10,995,800"
"Jul 18, 2025",309.24,309.37,308.32,308.39,308.39,"5,574,300"
"Jul 17, 2025",305.50,307.67,305.12,307.59,307.59,"6,642,300"
"Jul 16, 2025",307.11,311.09,305.73,308.26,308.26,"17,693,100"
"Jul 15, 2025",307.73,308.74,305.79,306.73,306.73,"8,149,000"
"Jul 14, 2025",309.07,309.38,307.73,308.01,308.01,"5,772,900"
"Jul 11, 2025",308.86,310.28,308.52,309.14,309.14,"9,187,300"
"Jul 10, 2025",306.11,306.51,304.82,306.20,306.20,"7,053,700"
"Jul 9, 2025",303.58,305.54,303.23,305.52,305.52,"10,644,100"
"Jul 8, 2025",306.30,306.45,302.77,304.16,304.16,"11,840,500"
"Jul 7, 2025",305.07,307.71,304.53,307.37,307.37,"7,351,600"
"Jul 3, 2025",307.05,307.57,306.15,307.14,307.14,"5,275,800"
"Jul 2, 2025",308.04,309.40,306.96,309.25,309.25,"8,316,400"
"Jul 1, 2025",308.56,309.00,307.36,307.55,307.55,"9,335,600"
"Jun 30, 2025",302.39,304.92,301.95,304.83,304.83,"8,192,100"
"Jun 27, 2025",300.03,302.36,299.89,301.22,301.22,"13,301,300"
"Jun 26, 2025",305.77,307.28,304.86,306.78,306.78,"6,787,500"
"Jun 25, 2025",305.31,307.36,305.12,307.12,307.12,"6,733,200"
"Jun 24, 2025",305.07,306.34,303.54,306.19,306.19,"12,035,200"
"Jun 23, 2025",310.34,312.67,310.31,311.08,311.08,"12,687,900"
"Jun 20, 2025",309.33,310.89,309.25,310.13,310.13,"8,794,700"
"Jun 18, 2025",312.89,312.98,309.86,310.26,310.26,"9,370,800"
"Jun 17, 2025",312.66,313.00,310.12,311.94,311.94,"8,234,100"
"Jun 16, 2025",314.80,314.87,311.65,311.78,311.78,"12,848,400"
"Jun 13, 2025",317.26,317.60,315.04,316.29,316.29,"16,592,900"
"Jun 12, 2025",311.74,313.10,311.15,312.20,312.20,"11,531,400"
"Jun 11, 2025",307.50,308.62,305.85,308.37,308.37,"9,248,800"
"Jun 10, 2025",308.31,308.60,305.87,306.71,306.71,"7,071,700"
"Jun 9, 2025",305.39,307.61,305.06,306.62,306.62,"7,159,000"
"Jun 6, 2025",309.09,309.20,305.10,305.18,305.18,"7,787,500"
"Jun 5, 2025",311.24,312.20,307.65,309.33,309.33,"10,817,800"
"Jun 4, 2025",309.41,311.88,308.74,310.90,310.90,"7,462,500"
"Jun 3, 2025",309.56,309.56,307.15,308.91,308.91,"9,315,100"
"Jun 2, 2025",309.21,311.72,308.72,311.67,311.67,"13,593,200"
"May 30, 2025",303.64,304.02,301.50,303.60,303.60,"9,553,300"
"May 29, 2025",305.74,306.89,304.46,305.61,305.61,"9,487,900"
"May 28, 2025",304.64,304.99,303.06,303.81,303.81,"8,803,300"
"May 27, 2025",303.81,304.88,302.74,304.50,304.50,"9,578,500"
"May 23, 2025",308.86,310.25,307.47,309.75,309.75,"13,339,500"
"May 22, 2025",305.09,305.28,302.10,303.11,303.11,"9,704,200"
"May 21, 2025",304.55,306.46,303.67,305.82,305.82,"12,414,500"
"May 20, 2025",298.35,303.68,298.30,303.58,303.58,"12,851,000"
"May 19, 2025",297.85,298.58,296.48,298.03,298.03,"11,656,300"
"May 16, 2025",292.62,294.58,291.78,294.24,294.24,"14,173,000"
